Block,Plot,Comp,Species,Abvbiom,NReproInfl,PlotSize_Infl
1,204,Ab,Ab,32.31,45,0.0625
2,39,Ab,Ab,6.34,32,0.64
3,65,Ab,Ab,55.48,83,0.0625
4,89,Ab,Ab,5.58,18,0.0625
5,238,Ab,Ab,28.06,57,0.0625
1,6,All,Ab,2.19,6,0.64
1,6,All,Am,0.68,6,0.0625
1,6,All,Bh,4.56,13,0.0625
1,6,All,Cc,0.4072,5,0.0625
1,6,All,Cp,5.56,15,0.0625
1,6,All,Hm,0.4728,1,0.0625
1,6,All,La,0.8286,10,0.0625
1,6,All,Pm,0,0,0.0625
1,6,All,Vmi,1.42,16,0.0625
1,6,All,Vmy,7.11,53,0.0625
1,6,All,Vo,0.1174,19,0.0625
2,42,All,Ab,0,1,0.0625
2,42,All,Am,0.92,16,0.64
2,42,All,Bh,1.8,16,0.0625
2,42,All,Cc,0,1,0.0625
2,42,All,Cp,5.27,20,0.0625
2,42,All,Hm,0.1213,1,0.0625
2,42,All,La,0.0671,6,0.0625
2,42,All,Pm,0,2,0.64
2,42,All,Vmi,0.8966,12,0.0625
2,42,All,Vmy,1.59,21,0.0625
2,42,All,Vo,0.2104,11,0.0625
3,61,All,Ab,0,2,0.64
3,61,All,Am,1.25,1,0.0625
3,61,All,Bh,1.38,25,0.0625
3,61,All,Cc,1.54,38,0.0625
3,61,All,Cp,6.89,20,0.0625
3,61,All,Hm,0.0318,3,0.64
3,61,All,La,0.254,2,0.0625
3,61,All,Pm,0.1273,12,0.64
3,61,All,Vmi,1.92,20,0.0625
3,61,All,Vmy,2.49,19,0.0625
3,61,All,Vo,0.3,25,0.0625
4,88,All,Ab,0,1,0.64
4,88,All,Am,0.0923,2,0.0625
4,88,All,Bh,1.0999,28,0.0625
4,88,All,Cc,0.0952,6,0.0625
4,88,All,Cp,4.94,16,0.0625
4,88,All,Hm,0.1916,9,0.64
4,88,All,La,0.2355,9,0.0625
4,88,All,Pm,0,3,0.64
4,88,All,Vmi,3.61,25,0.0625
4,88,All,Vmy,1.98,13,0.0625
4,88,All,Vo,0.1398,17,0.0625
5,111,All,Ab,0.96,3,0.64
5,111,All,Am,0.3623,2,0.0625
5,111,All,Bh,2.3,19,0.0625
5,111,All,Cc,2.24,22,0.0625
5,111,All,Cp,2.15,19,0.0625
5,111,All,Hm,0.4383,5,0.64
5,111,All,La,0.1936,6,0.0625
5,111,All,Pm,0,0,0.64
5,111,All,Vmi,0.92,12,0.0625
5,111,All,Vmy,2.31,11,0.0625
5,111,All,Vo,0.0618,18,0.0625
1,201,Am,Am,18.53,56,0.0625
2,214,Am,Am,21.16,66,0.0625
3,222,Am,Am,21.2,61,0.0625
4,91,Am,Am,15.61,65,0.0625
5,237,Am,Am,17.07,67,0.0625
1,1,Bh,Bh,38.2,150,0.0625
2,40,Bh,Bh,17.2,154,0.0625
3,66,Bh,Bh,11.84,115,0.0625
4,90,Bh,Bh,11.19,80,0.0625
5,112,Bh,Bh,7.5,234,0.0625
1,11,Cc,Cc,4.67,41,0.01
2,216,Cc,Cc,0.7217,18,0.01
3,68,Cc,Cc,0.98,40,0.0625
4,85,Cc,Cc,3,17,0.01
5,114,Cc,Cc,0.7267,11,0.01
1,203,Cp,Cp,18.01,78,0.0625
2,213,Cp,Cp,18.49,167,0.0625
3,221,Cp,Cp,19.01,84,0.0625
4,229,Cp,Cp,25.74,105,0.0625
5,240,Cp,Cp,27.97,87,0.0625
1,7,Exotic,Ab,0.2656,9,0.64
1,7,Exotic,Bh,8.66,32,0.0625
1,7,Exotic,Hm,1.52,6,0.0625
1,7,Exotic,La,4.8,22,0.0625
1,7,Exotic,Pm,0.0556,1,0.64
1,7,Exotic,Vmy,18.29,112,0.0625
2,41,Exotic,Ab,0.4138,6,0.64
