"exp","block","plot","plant","seed","trt","gopher","year","taxa","mass"
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"AMSINCKIA MENZIESII",502.00001
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"BRASSICA NIGRA",4.1
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"BROMUS CARINATUS",1.25
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"BROMUS HORDEACEUS",12.1
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"BROMUS MADRITENSIS",2.5
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"CONYZA CANADENSIS",0.8
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"ERODIUM CICUTARIUM",0.2
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"HORDEUM MURINUM",17.6
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"LACTUCA SERRIOLA",3.2
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"LESSINGIA FILAGINIFOLIA",0.2
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"LITTER",75.35
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"NASSELLA PULCHRA",1.75
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"PHALARIS PARADOXA",14.6
"FIRE","F1",1,"A",0,"CONTROL",1,2001,"VULPIA MYUROS",19.55
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"BRASSICA NIGRA",18.9
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"BROMUS ARENARIUS",0.35
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"BROMUS CARINATUS",0.25
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"BROMUS DIANDRUS",5.95
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"BROMUS HORDEACEUS",49.25
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"BROMUS MADRITENSIS",3.65
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"ELYMUS GLAUCUS",1.15
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"GRASS SPECIES",0.045
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"HORDEUM MURINUM",48.65
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"LACTUCA SERRIOLA",10.85
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"LITTER",389.65
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"LOLLIUM SPECIES",1.1
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"PHALARIS PARADOXA",1.05
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"VICIA SPECIES",1.25
"FIRE","F1",1,"A",0,"CONTROL",1,2002,"VULPIA MYUROS",13.6
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"AMSINCKIA MENZIESII",87.749995
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"BRASSICA NIGRA",4.55
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"BROMUS DIANDRUS",14.45
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"BROMUS HORDEACEUS",50.35
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"BROMUS MADRITENSIS",0.3
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"CONYZA CANADENSIS",3.45
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"ERODIUM CICUTARIUM",19.2
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"HORDEUM MURINUM",9.75
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"LACTUCA SERRIOLA",14.55
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"LITTER",489.300005
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"LOLLIUM MULTIFLORUM",0.05
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"VICIA SPECIES",2.1
"FIRE","F1",1,"A",0,"CONTROL",1,2003,"VULPIA MYUROS",10.15
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"AMSINCKIA MENZIESII",0.4085
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"BROMUS CARINATUS",0.6055
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"BROMUS DIANDRUS",5.1
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"BROMUS HORDEACEUS",73.15
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"BROMUS MADRITENSIS",0.083
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"CONYZA CANADENSIS",1.05
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"ELYMUS GLAUCUS",0.4245
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"HORDEUM MURINUM",3.7
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"LACTUCA SERRIOLA",0.2525
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"LITTER",255.45
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"LOLLIUM SPECIES",0.313
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"NASSELLA PULCHRA",0.0125
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"POA SECUNDA",1.1
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"VICIA SPECIES",8.1
"FIRE","F1",1,"A",0,"CONTROL",1,2004,"VULPIA MYUROS",24.6
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"AMSINCKIA MENZIESII",6.75
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"BROMUS DIANDRUS",3.5795
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"BROMUS HORDEACEUS",141.75
